Repo,Full Name,URL,Visibility,Archived,Fork,Size,Default Branch,Created At,Pushed At,Total Commits,First Commit Date,Latest Commit Date,Unique Authors,Owner Commits,Bot Commits,Non Owner Human Commits,Unknown Author Commits,Has Meaningful Files,Scaffold Only,Include For Functionality Audit,Reason,Confidence,Notes
Artifact-Research,warrenghaad/Artifact-Research,https://github.com/warrenghaad/Artifact-Research,public,false,false,0,main,2026-04-27T11:12:51Z,2026-04-27T11:12:52Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
Artifact-Research-Timeline,warrenghaad/Artifact-Research-Timeline,https://github.com/warrenghaad/Artifact-Research-Timeline,public,true,false,0,main,2026-04-21T01:37:56Z,2026-04-21T03:00:22Z,1,2026-04-20T20:00:21.000-07:00,2026-04-20T20:00:21.000-07:00,1,1,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",medium,
Artifact-Research-Timelinev1,warrenghaad/Artifact-Research-Timelinev1,https://github.com/warrenghaad/Artifact-Research-Timelinev1,public,false,false,0,main,2026-04-21T11:08:59Z,2026-04-22T21:03:54Z,1,2026-04-22T14:03:54.000-07:00,2026-04-22T14:03:54.000-07:00,1,1,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",low,Versioned or supersession-style naming needs manual canonical-repo review.
Artifact-Research-Timelinev3,warrenghaad/Artifact-Research-Timelinev3,https://github.com/warrenghaad/Artifact-Research-Timelinev3,public,false,false,0,main,2026-04-22T21:12:16Z,2026-04-22T21:12:17Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository. Versioned or supersession-style naming needs manual canonical-repo review.
Artifactcanvas-drawer,warrenghaad/Artifactcanvas-drawer,https://github.com/warrenghaad/Artifactcanvas-drawer,public,false,false,0,main,2026-05-19T02:02:59Z,2026-05-19T02:03:00Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
artifactv2,warrenghaad/artifactv2,https://github.com/warrenghaad/artifactv2,public,true,false,0,main,2026-05-07T13:01:19Z,2026-05-07T13:01:20Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository. Versioned or supersession-style naming needs manual canonical-repo review.
ArtisanalCanvas,warrenghaad/ArtisanalCanvas,https://github.com/warrenghaad/ArtisanalCanvas,public,false,false,22201,main,2026-05-18T20:52:19Z,2026-07-03T09:26:14Z,57,2025-09-16T03:32:37.000Z,2026-07-02T15:55:54.000-07:00,3,56,1,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
Chord-Matrix-Muse,warrenghaad/Chord-Matrix-Muse,https://github.com/warrenghaad/Chord-Matrix-Muse,public,true,false,0,main,2026-04-21T03:35:17Z,2026-04-21T03:35:18Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
Chord-Matrix-Musev2,warrenghaad/Chord-Matrix-Musev2,https://github.com/warrenghaad/Chord-Matrix-Musev2,public,false,false,2355,Warrenghaad,2026-05-11T01:49:01Z,2026-06-10T05:59:24Z,14,2026-02-18T09:54:31.000Z,2026-06-10T03:27:19.000Z,2,10,4,0,0,true,false,true,Meaningful source structure plus multi-commit history,low,Versioned or supersession-style naming needs manual canonical-repo review.
Content-Pipeline-And-reconciliation-Tool,warrenghaad/Content-Pipeline-And-reconciliation-Tool,https://github.com/warrenghaad/Content-Pipeline-And-reconciliation-Tool,public,false,false,0,main,2026-07-06T07:21:19Z,2026-07-06T07:21:20Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
CurriculumBuilder_PENULTIMATE,warrenghaad/CurriculumBuilder_PENULTIMATE,https://github.com/warrenghaad/CurriculumBuilder_PENULTIMATE,public,true,false,1706,main,2026-04-21T03:17:18Z,2026-05-30T06:08:25Z,1,2026-04-20T20:17:50.000-07:00,2026-04-20T20:17:50.000-07:00,1,1,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",low,Versioned or supersession-style naming needs manual canonical-repo review.
DatabaseS-UI,warrenghaad/DatabaseS-UI,https://github.com/warrenghaad/DatabaseS-UI,public,false,false,0,main,2026-06-30T05:24:05Z,2026-06-30T05:24:06Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
Drawereward,warrenghaad/Drawereward,https://github.com/warrenghaad/Drawereward,public,true,false,0,main,2025-09-21T11:44:34Z,2025-09-21T11:44:34Z,1,2025-09-21T04:44:34.000-07:00,2025-09-21T04:44:34.000-07:00,1,1,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",medium,
geometric-civilizations,warrenghaad/geometric-civilizations,https://github.com/warrenghaad/geometric-civilizations,public,false,false,108970,main,2025-08-19T22:43:06Z,2026-07-06T20:37:57Z,19,2025-08-19T15:43:34.000-07:00,2026-06-05T15:25:02.000-04:00,3,8,11,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
Geometric-Math-Visualizer,warrenghaad/Geometric-Math-Visualizer,https://github.com/warrenghaad/Geometric-Math-Visualizer,public,false,false,13148,main,2026-04-21T11:37:21Z,2026-06-02T23:42:37Z,26,2026-03-25T23:36:34.000Z,2026-06-01T05:48:38.000Z,2,15,11,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
Harmony-Tutor,warrenghaad/Harmony-Tutor,https://github.com/warrenghaad/Harmony-Tutor,public,false,false,4295,main,2026-04-20T18:40:01Z,2026-05-11T02:10:28Z,19,2026-02-14T01:16:21.000Z,2026-05-11T02:10:12.000Z,1,19,0,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
HTML-CSS-JS-Static-1,warrenghaad/HTML-CSS-JS-Static-1,https://github.com/warrenghaad/HTML-CSS-JS-Static-1,public,false,false,1184,warrenghaad,2026-04-30T03:18:09Z,2026-07-05T19:23:29Z,64,2025-10-21T01:59:26.000Z,2026-06-10T00:14:05.000-07:00,3,59,5,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
Inventive-Worlds,warrenghaad/Inventive-Worlds,https://github.com/warrenghaad/Inventive-Worlds,public,false,false,204,Warrenghaad,2026-05-06T16:52:04Z,2026-05-06T16:52:19Z,5,2026-02-27T18:44:41.000Z,2026-03-22T02:48:10.000Z,1,5,0,0,0,true,false,true,Meaningful source structure plus multi-commit history,medium,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
Music-tutor1,warrenghaad/Music-tutor1,https://github.com/warrenghaad/Music-tutor1,public,false,false,203,main,2026-04-21T11:44:37Z,2026-04-21T11:44:47Z,34,2025-10-21T01:59:26.000Z,2026-04-21T11:43:19.000Z,1,34,0,0,0,true,false,true,Meaningful source structure plus multi-commit history,medium,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
MusicTutor,warrenghaad/MusicTutor,https://github.com/warrenghaad/MusicTutor,public,false,false,3215,main,2026-04-21T03:04:08Z,2026-04-21T03:06:33Z,70,2025-08-31T03:08:38.000Z,2026-04-20T19:41:21.000Z,1,70,0,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
StudiOS,warrenghaad/StudiOS,https://github.com/warrenghaad/StudiOS,private,false,false,7,main,2026-05-20T23:26:16Z,2026-07-06T19:20:31Z,2,2026-05-20T17:26:16-06:00,2026-07-06T19:20:30Z,2,1,1,0,0,false,false,false,Current hub repo is documentation-first and not yet a functionality target,high,Private repo evaluated from the local clone only. Current history is documentation-heavy and not yet a deeper functionality-audit target.
TripSpanishTutor,warrenghaad/TripSpanishTutor,https://github.com/warrenghaad/TripSpanishTutor,public,false,false,2289,Warrenghaad,2026-05-06T06:43:37Z,2026-05-20T00:39:15Z,63,2025-12-02T06:39:07.000Z,2026-05-17T10:24:22.000-06:00,4,58,5,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Contains author aliases that are not yet confidently classified.
V5-artifactcanvas,warrenghaad/V5-artifactcanvas,https://github.com/warrenghaad/V5-artifactcanvas,public,true,false,0,main,2026-05-18T18:16:45Z,2026-05-18T18:16:46Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
WKSP-1-Ingest-Graph-Review,warrenghaad/WKSP-1-Ingest-Graph-Review,https://github.com/warrenghaad/WKSP-1-Ingest-Graph-Review,public,false,false,26877,main,2026-04-27T11:16:25Z,2026-07-06T04:35:38Z,70,2026-03-25T09:54:45.000Z,2026-05-01T01:23:25.000Z,1,70,0,0,0,true,false,true,Meaningful source structure plus multi-commit history,high,Public repo shows source directories or code-bearing root files beyond a bare scaffold.
WSKP1,warrenghaad/WSKP1,https://github.com/warrenghaad/WSKP1,public,true,false,0,main,2026-04-27T11:10:35Z,2026-04-27T11:10:36Z,0,,,0,0,0,0,0,false,true,false,"Empty, scaffold-only, or too little history to justify deeper audit",high,Repository page reports an empty repository.
